horizon_name,horizon_steps,horizon_seconds,split,sensor,mae_raw,mae_scaled,n_windows
3s,30,3.0,train,Accelerometer,0.001924827377756,0.0583816641948973,2009700
3s,30,3.0,train,GasLeak,19.349470037996905,0.0574655646425263,2009700
3s,30,3.0,train,Pressure_1,0.0624396918166085,0.0590370187935677,2009700
3s,30,3.0,train,Pressure_2,0.0623147568885301,0.0579460787575427,2009700
3s,30,3.0,train,Temperature_1,2.211441195413804,0.06083007627007,2009700
3s,30,3.0,train,Temperature_2,2.214489991526737,0.0606897714903348,2009700
3s,30,3.0,train,ALL_MEAN,3.98368008350339,0.0590583623581565,2009700
3s,30,3.0,val,Accelerometer,0.001935315145945,0.0586997671934503,430650
3s,30,3.0,val,GasLeak,19.52423790850059,0.0579846038896036,430650
3s,30,3.0,val,Pressure_1,0.0628661546061629,0.0594402413430259,430650
3s,30,3.0,val,Pressure_2,0.0621129205456668,0.0577583924821936,430650
3s,30,3.0,val,Temperature_1,2.216878187590236,0.0609796315236567,430650
3s,30,3.0,val,Temperature_2,2.229252868116089,0.0610943592781216,430650
3s,30,3.0,val,ALL_MEAN,4.016213892417448,0.0593261659516753,430650
3s,30,3.0,test,Accelerometer,0.001931402664119,0.058581098266163,430650
3s,30,3.0,test,GasLeak,19.33849683699015,0.0574329755746836,430650
3s,30,3.0,test,Pressure_1,0.0632870412536224,0.0598381916242189,430650
3s,30,3.0,test,Pressure_2,0.061821795909774,0.0574876776158919,430650
3s,30,3.0,test,Temperature_1,2.1871355370308234,0.0601615009282084,430650
3s,30,3.0,test,Temperature_2,2.221599785447723,0.0608846207649122,430650
3s,30,3.0,test,ALL_MEAN,3.9790453998827022,0.059064344129013,430650
6s,60,6.0,train,Accelerometer,0.0026366670869771,0.0799723727148397,1988700
6s,60,6.0,train,GasLeak,26.35309769131654,0.0782654840642828,1988700
6s,60,6.0,train,Pressure_1,0.0854222997305809,0.080767181385137,1988700
6s,60,6.0,train,Pressure_2,0.0852861372424371,0.0793070128543901,1988700
6s,60,6.0,train,Temperature_1,2.960081430333053,0.0814229107905737,1988700
6s,60,6.0,train,Temperature_2,2.964536310688524,0.0812453576032856,1988700
6s,60,6.0,train,ALL_MEAN,5.408510089399685,0.0801633865687515,1988700
