baseline,horizon_name,horizon_steps,horizon_seconds,split,sensor,mae_raw,mae_scaled,n_windows
last_value,3s,30,3.0,train,Accelerometer,0.001924827377756093,0.05838166419489739,2009700
last_value,3s,30,3.0,train,GasLeak,19.349470037996905,0.057465564642526376,2009700
last_value,3s,30,3.0,train,Pressure_1,0.062439691816608564,0.059037018793567715,2009700
last_value,3s,30,3.0,train,Pressure_2,0.06231475688853019,0.05794607875754273,2009700
last_value,3s,30,3.0,train,Temperature_1,2.2114411954138036,0.06083007627007006,2009700
last_value,3s,30,3.0,train,Temperature_2,2.214489991526737,0.060689771490334866,2009700
last_value,3s,30,3.0,train,ALL_MEAN,3.98368008350339,0.05905836235815653,2009700
last_value,3s,30,3.0,val,Accelerometer,0.001935315145945042,0.05869976719345038,430650
last_value,3s,30,3.0,val,GasLeak,19.52423790850059,0.057984603889603664,430650
last_value,3s,30,3.0,val,Pressure_1,0.06286615460616293,0.05944024134302591,430650
last_value,3s,30,3.0,val,Pressure_2,0.062112920545666896,0.05775839248219364,430650
last_value,3s,30,3.0,val,Temperature_1,2.2168781875902357,0.06097963152365677,430650
last_value,3s,30,3.0,val,Temperature_2,2.2292528681160895,0.06109435927812161,430650
last_value,3s,30,3.0,val,ALL_MEAN,4.016213892417448,0.059326165951675336,430650
last_value,3s,30,3.0,test,Accelerometer,0.0019314026641190844,0.058581098266163,430650
last_value,3s,30,3.0,test,GasLeak,19.33849683699015,0.05743297557468363,430650
last_value,3s,30,3.0,test,Pressure_1,0.0632870412536224,0.05983819162421899,430650
last_value,3s,30,3.0,test,Pressure_2,0.06182179590977408,0.05748767761589191,430650
last_value,3s,30,3.0,test,Temperature_1,2.1871355370308234,0.0601615009282084,430650
last_value,3s,30,3.0,test,Temperature_2,2.221599785447723,0.06088462076491226,430650
last_value,3s,30,3.0,test,ALL_MEAN,3.9790453998827022,0.059064344129013034,430650
last_value,6s,60,6.0,train,Accelerometer,0.0026366670869771474,0.07997237271483974,1988700
last_value,6s,60,6.0,train,GasLeak,26.35309769131654,0.07826548406428283,1988700
last_value,6s,60,6.0,train,Pressure_1,0.08542229973058098,0.08076718138513707,1988700
last_value,6s,60,6.0,train,Pressure_2,0.0852861372424371,0.07930701285439014,1988700
last_value,6s,60,6.0,train,Temperature_1,2.960081430333053,0.08142291079057379,1988700
last_value,6s,60,6.0,train,Temperature_2,2.9645363106885236,0.0812453576032856,1988700
last_value,6s,60,6.0,train,ALL_MEAN,5.408510089399685,0.08016338656875152,1988700
